                    CPU0       CPU1       CPU2       CPU3       
          HI:      90013     254930          0          0
       TIMER:      25376      23431      26834      52405
      NET_TX:          1          0          0          1
      NET_RX:        501       1632     127044       8682
       BLOCK:          7          0          0         23
    IRQ_POLL:          0          0          0          0
     TASKLET:        478        257          8         78
       SCHED:     108800     112391      62755      68423
     HRTIMER:          0          0          0          0
         RCU:      96668      99400      90513      89521
