
=== measure-soak-instrument buffer=1024 periods=2 patch=Cloud Horn voices=5 hours=8 2026-08-22T11:05:36-04:00 ===
PROVENANCE patch=Cloud Horn hold_voices=5 buffer=1024 periods=2 condition=A
SENTINEL soak-start
expected_finish=2026-08-22T19:05:36-04:00

=== measure-soak-instrument buffer=1024 periods=2 patch=Cloud Horn voices=5 hours=8 2026-08-23T00:42:28-04:00 ===
PROVENANCE patch=Cloud Horn hold_voices=5 buffer=1024 periods=2 condition=A
SENTINEL soak-start
expected_finish=2026-08-23T08:42:28-04:00
SENTINEL soak-loop-entered
./scripts/measure-soak-instrument.sh: line 174: MPE_METER_LAST_AGE_S: unbound variable
SENTINEL soak-aborted stage=soak-loop-minute rc=1

=== B2 RESTART after 8f138ec fix 2026-08-23T00:51:44-04:00 ===
pilot=PASS log=/home/mitch/instrument-soak-pilot-2026-08-23.log meter_age_s=0@minute1

=== measure-soak-instrument buffer=1024 periods=2 patch=Cloud Horn voices=5 hours=8 2026-08-23T00:51:44-04:00 ===
PROVENANCE patch=Cloud Horn hold_voices=5 buffer=1024 periods=2 condition=A
SENTINEL soak-start
expected_finish=2026-08-23T08:51:44-04:00
SENTINEL soak-loop-entered
SOAK minute=1 xruns_minute=4 xruns_total=4 meter_live=1 meter_age_s=0 temp=48.2'C throttled=0x0
SOAK minute=2 xruns_minute=11 xruns_total=15 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=3 xruns_minute=6 xruns_total=21 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=4 xruns_minute=2 xruns_total=23 meter_live=1 meter_age_s=0 temp=47.7'C throttled=0x0
SOAK minute=5 xruns_minute=0 xruns_total=23 meter_live=1 meter_age_s=0 temp=48.2'C throttled=0x0
SOAK minute=6 xruns_minute=4 xruns_total=27 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=7 xruns_minute=0 xruns_total=27 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=8 xruns_minute=2 xruns_total=29 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=9 xruns_minute=12 xruns_total=41 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=10 xruns_minute=0 xruns_total=41 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=11 xruns_minute=0 xruns_total=41 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=12 xruns_minute=7 xruns_total=48 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=13 xruns_minute=0 xruns_total=48 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=14 xruns_minute=2 xruns_total=50 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=15 xruns_minute=8 xruns_total=58 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=16 xruns_minute=6 xruns_total=64 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=17 xruns_minute=0 xruns_total=64 meter_live=1 meter_age_s=0 temp=47.7'C throttled=0x0
SOAK minute=18 xruns_minute=0 xruns_total=64 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=19 xruns_minute=2 xruns_total=66 meter_live=1 meter_age_s=1 temp=47.2'C throttled=0x0
SOAK minute=20 xruns_minute=0 xruns_total=66 meter_live=1 meter_age_s=1 temp=46.7'C throttled=0x0
SOAK minute=21 xruns_minute=2 xruns_total=68 meter_live=1 meter_age_s=1 temp=46.7'C throttled=0x0
