70s	15	none_below_15	{"name":"70s fizzy string","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/70s Fizzy String.fxp","osc_count":1,"osc_types":[8],"unison_voices":-1,"fx_count":2,"fx_types":[6,20],"filter1_type":11,"filter2_type":10,"patch_polylimit":12}
A	3	5	{"name": "A Robotic Mind", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/A Robotic Mind.fxp", "error": "not well-formed (invalid token): line 1, column 38359"}
Acid	15	none_below_15	{"name":"Acid Seq 3","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Acid Seq 3.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":1,"fx_types":[1],"filter1_type":2,"filter2_type":5,"patch_polylimit":8}
Analog	15	none_below_15	{"name":"Analog Foundation","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Analog Foundation.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":2,"fx_types":[14,6],"filter1_type":14,"filter2_type":10,"patch_polylimit":16}
Another	15	none_below_15	{"name":"Pad Another warm","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Another Warm.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":2,"fx_types":[1,6],"filter1_type":1,"filter2_type":8,"patch_polylimit":8}
Axel's	15	none_below_15	{"name":"AF Brassy Pad","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Axel's Brassy Pad.fxp","osc_count":2,"osc_types":[8,8],"unison_voices":2,"fx_count":1,"fx_types":[2],"filter1_type":13,"filter2_type":12,"patch_polylimit":16}
Bass	15	none_below_15	{"name": "Bass Ocarina", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Bass Ocarina.fxp", "error": "not well-formed (invalid token): line 1, column 34959"}
Block	15	none_below_15	{"name":"Block","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Block.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":1,"fx_types":[1],"filter1_type":1,"filter2_type":0,"patch_polylimit":8}
Blue	15	none_below_15	{"name": "Blue Pad", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Blue Pad.fxp", "error": "not well-formed (invalid token): line 1, column 23707"}
Bonita	11	13	{"name": "Bonita Keys", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Bonita Keys.fxp", "error": "not well-formed (invalid token): line 1, column 26338"}
Bowed	15	none_below_15	{"name": "Bowed String", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Bowed String.fxp", "error": "not well-formed (invalid token): line 1, column 36992"}
Brave	3	5	{"name": "Brave New World", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Brave New World.fxp", "error": "not well-formed (invalid token): line 1, column 27461"}
Church	15	none_below_15	{"name": "Church - Mod", "path": "/home/mitch/Documents/Surge XT/Patches/Quick Select/Church - Mod.fxp", "error": "not well-formed (invalid token): line 1, column 32009"}
Classic	15	none_below_15	{"name":"Classic Strings","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Classic Strings.fxp","osc_count":0,"osc_types":[],"unison_voices":0,"fx_count":2,"fx_types":[9,6],"filter1_type":3,"filter2_type":3,"patch_polylimit":8}
Closed	15	none_below_15	{"name":"CH","path":"/home/mitch/Documents/Surge XT/Patches/Quick Select/Closed Hat.fxp","osc_count":3,"osc_types":[1,6,6],"unison_voices":1,"fx_count":0,"fx_types":[],"filter1_type":5,"filter2_type":1,"patch_polylimit":16}
