FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363129.572060 RUNNING 1402880 1400013
1787363129.675648 RUNNING 1408000 1405006
1787363129.779184 RUNNING 1412096 1409999
1787363129.882903 RUNNING 1417216 1414943
1787363129.986055 RUNNING 1422336 1419888
1787363130.089229 RUNNING 1427456 1424881
1787363130.192419 RUNNING 1432576 1429825
1787363130.295920 RUNNING 1437696 1434770
1787363130.399406 RUNNING 1442816 1439763
1787363130.502960 RUNNING 1446912 1444707
1787363130.606550 RUNNING 1452032 1449700
1787363130.710863 RUNNING 1457152 1454693
1787363130.816404 RUNNING 1462272 1459781
1787363130.921052 RUNNING 1467392 1464774
1787363131.024236 RUNNING 1472512 1469719
1787363131.127670 RUNNING 1477632 1474711
1787363131.231056 RUNNING 1481728 1479656
1787363131.334800 RUNNING 1486848 1484649
1787363131.437990 RUNNING 1491968 1489593
1787363131.541195 RUNNING 1497088 1494538
1787363131.644301 RUNNING 1502208 1499483
1787363131.747483 RUNNING 1507328 1504475
1787363131.850908 RUNNING 1512448 1509420
1787363131.954880 RUNNING 1516544 1514413
1787363132.059116 RUNNING 1521664 1519405
1787363132.163734 RUNNING 1526784 1524446
1787363132.269686 RUNNING 1531904 1529535
1787363132.372876 RUNNING 1537024 1534479
1787363132.476047 RUNNING 1542144 1539424
1787363132.579255 RUNNING 1547264 1544369
1787363132.682864 RUNNING 1552384 1549361
1787363132.786463 RUNNING 1556480 1554306
1787363132.889931 RUNNING 1561600 1559299
1787363132.993043 RUNNING 1566720 1564243
1787363133.096203 RUNNING 1571840 1569188
1787363133.199364 RUNNING 1576960 1574133
1787363133.302944 RUNNING 1582080 1579125
1787363133.406556 RUNNING 1586176 1584070
1787363133.510087 RUNNING 1591296 1589063
1787363133.614503 RUNNING 1596416 1594055
1787363133.718866 RUNNING 1601536 1599096
1787363133.823820 RUNNING 1606656 1604137
1787363133.927892 RUNNING 1611776 1609130
1787363134.035817 RUNNING 1616896 1614266
1787363134.139226 RUNNING 1622016 1619259
1787363134.247321 RUNNING 1627136 1624444
1787363134.351307 RUNNING 1632256 1629436
1787363134.454769 RUNNING 1637376 1634381
1787363134.558303 RUNNING 1641472 1639374
1787363134.663822 RUNNING 1646592 1644414
1787363134.767279 RUNNING 1651712 1649407
1787363134.871164 RUNNING 1656832 1654400
1787363134.976121 RUNNING 1661952 1659440
1787363135.080900 RUNNING 1667072 1664433
1787363135.186042 RUNNING 1672192 
1787363135.289500 RUNNING 1677312 1674466
1787363135.392963 RUNNING 1682432 1679411
1787363135.533260 RUNNING 1688576 1686180
1787363135.636485 RUNNING 1693696 1691125
1787363135.739647 RUNNING 1698816 1696069
1787363135.843082 RUNNING 1703936 1701014
1787363135.946532 RUNNING 1709056 1706007
1787363136.064193 RUNNING 1714176 1711671
1787363136.169450 RUNNING 1719296 1716712
1787363136.272688 RUNNING 1724416 1721657
1787363136.376706 RUNNING 1729536 1726649
1787363136.484106 RUNNING 1734656 1731786
1787363136.587869 RUNNING 1739776 1736779
1787363136.691421 RUNNING 1743872 1741771
1787363136.794600 RUNNING 1748992 1746716
1787363136.897716 RUNNING 1754112 1751661
1787363137.000918 RUNNING 1759232 1756605
1787363137.104080 RUNNING 1764352 1761550
1787363137.207471 RUNNING 1769472 1766543
1787363137.310963 RUNNING 1773568 1771487
1787363137.414704 RUNNING 1778688 1776480
1787363137.517847 RUNNING 1783808 1781425
1787363137.620954 RUNNING 1788928 1786370
1787363137.724156 RUNNING 1794048 1791314
1787363137.828043 RUNNING 1799168 1796307
1787363137.932778 RUNNING 1804288 1801348
1787363138.038936 RUNNING 1809408 1806436
1787363138.144141 RUNNING 1814528 1811477
1787363138.248109 RUNNING 1818624 1816470
1787363138.351454 RUNNING  1821414
1787363138.454863 RUNNING 1828864 1826407
1787363138.558310 RUNNING 1833984 1831352
1787363138.662601 RUNNING 1839104 1836392
1787363138.766380 RUNNING 1844224 1841337
1787363138.870012 RUNNING 1849344 1846330
1787363138.974115 RUNNING 1853440 1851322
1787363139.077733 RUNNING 1858560 1856315
1787363139.180908 RUNNING 1863680 1861260
1787363139.284007 RUNNING 1868800 1866204
1787363139.387788 RUNNING 1873920 1871197
1787363139.492754 RUNNING 1879040 1876238
1787363139.598056 RUNNING 1884160 1881278
1787363139.701507 RUNNING 1889280 1886223
1787363139.805129 RUNNING 1893376 1891216
1787363139.908250 RUNNING 1898496 1896160
1787363140.011332 RUNNING 1903616 1901105
1787363140.114711 RUNNING 1908736 1906050
1787363140.217920 RUNNING 1913856 1911042
1787363140.321156 RUNNING 1918976 1915987
1787363140.424670 RUNNING 1923072 1920932
1787363140.528014 RUNNING 1928192 1925924
1787363140.631118 RUNNING 1933312 1930869
1787363140.734361 RUNNING 1938432 1935814
1787363140.837523 RUNNING 1943552 1940758
1787363140.940814 RUNNING 1948672 1945703
1787363141.045764 RUNNING 1953792 1950744
1787363141.150461 RUNNING 1957888 1955784
1787363141.254770 RUNNING 1963008 1960777
1787363141.358493 RUNNING 1968128 1965770
1787363141.461712 RUNNING 1973248 1970714
1787363141.565306 RUNNING 1978368 1975707
1787363141.668471 RUNNING 1983488 1980652
1787363141.771783 RUNNING 1988608 1985596
1787363141.875156 RUNNING 1992704 1990589
1787363141.978436 RUNNING 1997824 1995534
1787363142.081760 RUNNING 2002944 2000478
1787363142.185734 RUNNING 2008064 2005471
1787363142.288941 RUNNING 2013184 2010416
1787363142.392058 RUNNING 2018304 2015361
1787363142.495449 RUNNING 2023424 2020353
1787363142.599029 RUNNING 2027520 2025298
1787363142.702077 RUNNING 2032640 2030243
1787363142.806108 RUNNING 2037760 2035235
1787363142.910160 RUNNING 2042880 2040276
1787363143.015053 RUNNING 2048000 
1787363143.119428 RUNNING 2053120 2050309
1787363143.223017 RUNNING 2058240 2055254
1787363143.326811 RUNNING 2062336 2060247
1787363143.430274 RUNNING 2067456 2065191
1787363143.533417 RUNNING 2072576 2070184
1787363143.636653 RUNNING 2077696 2075129
1787363143.741063 RUNNING 2082816 2080121
1787363143.844236 RUNNING 2087936 2085066
1787363143.947827 RUNNING 2093056 2090059
1787363144.051650 RUNNING 2097152 2095051
1787363144.154833 RUNNING 2102272 2099996
1787363144.257996 RUNNING 2107392 2104941
1787363144.361488 RUNNING 2112512 2109933
1787363144.467317 RUNNING 2117632 2114974
1787363144.574210 RUNNING 2122752 2120111
1787363144.678103 RUNNING 2127872 2125103
1787363144.781567 RUNNING  2130048
1787363144.884991 RUNNING 2138112 2135041
1787363144.988463 RUNNING 2142208 2139985
1787363145.091617 RUNNING  2144930
1787363145.194754 RUNNING 2152448 2149923
1787363145.297943 RUNNING 2157568 2154867
1787363145.401348 RUNNING 2162688 2159812
1787363145.504745 RUNNING 2167808 2164805
1787363145.608209 RUNNING 2171904 2169749
1787363145.711305 RUNNING 2177024 2174694
1787363145.816124 RUNNING 2182144 2179735
1787363145.919401 RUNNING 2187264 2184679
1787363146.027789 RUNNING 2192384 
1787363146.131405 RUNNING 2197504 2194857
1787363146.235163 RUNNING 2202624 2199849
1787363146.338719 RUNNING 2207744 2204794
1787363146.442199 RUNNING 2211840 2209787
1787363146.545637 RUNNING 2216960 2214731
1787363146.648787 RUNNING 2222080 2219676
1787363146.752036 RUNNING 2227200 2224669
1787363146.855174 RUNNING 2232320 2229614
1787363146.958542 RUNNING 2237440 2234558
1787363147.063299 RUNNING 2242560 2239599
1787363147.166862 RUNNING 2246656 2244544
1787363147.272064 RUNNING 2251776 2249632
1787363147.375726 RUNNING 2256896 2254625
1787363147.480845 RUNNING 2262016 2259618
1787363147.584723 RUNNING 2267136 2264610
1787363147.688002 RUNNING 2272256 2269555
1787363147.791196 RUNNING 2277376 2274548
1787363147.894523 RUNNING 2282496 2279492
1787363147.998138 RUNNING 2286592 2284485
1787363148.101356 RUNNING 2291712 2289430
1787363148.204790 RUNNING 2296832 2294374
1787363148.307933 RUNNING 2301952 2299319
1787363148.411019 RUNNING 2307072 2304264
1787363148.514473 RUNNING 2312192 2309256
1787363148.617932 RUNNING 2316288 2314201
1787363148.721362 RUNNING 2321408 2319194
1787363148.824572 RUNNING 2326528 2324138
1787363148.928639 RUNNING 2331648 2329131
1787363149.035852 RUNNING 2336768 2334268
1787363149.139507 RUNNING 2341888 2339260
1787363149.243317 RUNNING 2347008 2344253
1787363149.346836 RUNNING 2352128 2349198
1787363149.450295 RUNNING  2354142
1787363149.553751 RUNNING 2361344 2359135
1787363149.656821 RUNNING 2366464 2364080
1787363149.759918 RUNNING 2371584 2369024
1787363149.863068 RUNNING 2376704 2373969
1787363149.966294 RUNNING 2381824 2378914
1787363150.070697 RUNNING 2386944 2383954
1787363150.174228 RUNNING 2391040 2388899
1787363150.277678 RUNNING 2396160 2393892
1787363150.381557 RUNNING 2401280 2398884
1787363150.486134 RUNNING 2406400 2403877
1787363150.592106 RUNNING 2411520 2408966
1787363150.696228 RUNNING 2416640 2413958
1787363150.799409 RUNNING 2421760 2418903
1787363150.903023 RUNNING 2426880 2423896
1787363151.006432 RUNNING 2430976 2428840
1787363151.109907 RUNNING 2436096 2433833
1787363151.213058 RUNNING 2441216 2438778
1787363151.316241 RUNNING 2446336 2443722
1787363151.419401 RUNNING 2451456 2448667
1787363151.522569 RUNNING 2456576 2453612
1787363151.625777 RUNNING 2460672 2458604
1787363151.729471 RUNNING 2465792 2463549
1787363151.833272 RUNNING 2470912 2468542
1787363151.936990 RUNNING 2476032 2473535
1787363152.043808 RUNNING 2481152 2478671
1787363152.147313 RUNNING 2486272 2483616
1787363152.250457 RUNNING 2491392 2488561
1787363152.353641 RUNNING 2496512 2493505
1787363152.456995 RUNNING 2500608 2498498
1787363152.560150 RUNNING 2505728 2503443
1787363152.663246 RUNNING 2510848 2508387
1787363152.766389 RUNNING 2515968 2513332
1787363152.869696 RUNNING 2521088 2518277
1787363152.972949 RUNNING 2526208 2523269
1787363153.076810 RUNNING 2530304 2528214
1787363153.180590 RUNNING 2535424 2533207
1787363153.283812 RUNNING 2540544 2538151
1787363153.388080 RUNNING 2545664 2543192
1787363153.496066 RUNNING 2550784 2548377
1787363153.599188 RUNNING 2555904 2553321
1787363153.702467 RUNNING 2561024 2558266
1787363153.805989 RUNNING 2566144 
1787363153.909895 RUNNING 2571264 2568203
1787363154.013356 RUNNING 2575360 2573196
1787363154.116548 RUNNING 2580480 2578141
1787363154.219884 RUNNING 2585600 2583085
1787363154.323013 RUNNING 2590720 2588030
1787363154.426558 RUNNING 2595840 2593023
1787363154.530103 RUNNING 2600960 2597967
1787363154.633696 RUNNING 2605056 2602960
1787363154.738259 RUNNING 2610176 2608001
1787363154.843474 RUNNING 2615296 2613041
1787363154.950350 RUNNING 2620416 2618178
1787363155.053718 RUNNING 2625536 2623123
1787363155.156924 RUNNING 2630656 2628067
1787363155.260662 RUNNING 2635776 2633060
1787363155.363897 RUNNING 2640896 2638005
1787363155.467641 RUNNING 2646016 2642997
1787363155.571448 RUNNING 2650112 2647990
1787363155.674658 RUNNING 2655232 2652935
1787363155.777971 RUNNING 2660352 2657879
1787363155.882489 RUNNING 2665472 2662920
1787363155.985698 RUNNING 2670592 2667865
1787363156.089242 RUNNING 2675712 2672809
1787363156.193392 RUNNING  2677802
1787363156.299864 RUNNING 2685952 2682939
1787363156.403801 RUNNING 2690048 2687932
1787363156.510696 RUNNING 2695168 2693068
1787363156.614054 RUNNING 2700288 2698013
1787363156.717211 RUNNING 2705408 2702958
1787363156.820641 RUNNING 2710528 2707950
1787363156.923933 RUNNING 2715648 2712895
1787363157.027494 RUNNING 2720768 
1787363157.131153 RUNNING 2725888 2722832
1787363157.234832 RUNNING 2729984 2727825
1787363157.337987 RUNNING 2735104 2732770
1787363157.441248 RUNNING 2740224 2737714
1787363157.544980 RUNNING 2745344 2742707
1787363157.648117 RUNNING 2750464 2747652
1787363157.752819 RUNNING 2755584 2752692
1787363157.858305 RUNNING 2760704 2757733
1787363157.963228 RUNNING 2765824 2762774
1787363158.067440 RUNNING 2769920 2767766
1787363158.170675 RUNNING 2775040 2772711
1787363158.273862 RUNNING 2780160 2777704
1787363158.377263 RUNNING 2785280 2782648
1787363158.480657 RUNNING 2790400 2787593
1787363158.584541 RUNNING 2795520 2792586
1787363158.688515 RUNNING 2800640 2797578
1787363158.791897 RUNNING 2804736 2802571
1787363158.895004 RUNNING 2809856 2807516
1787363158.998357 RUNNING 2814976 2812460
1787363159.101497 RUNNING 2820096 2817405
1787363159.204956 RUNNING 2825216 2822398
1787363159.309631 RUNNING 2830336 2827390
1787363159.416155 RUNNING 2835456 2832527
1787363159.519803 RUNNING 2839552 2837472
1787363159.623303 RUNNING 2844672 2842464
1787363159.726476 RUNNING 2849792 2847409
1787363159.830790 RUNNING 2854912 2852402
1787363159.934023 RUNNING 2860032 2857394
1787363160.037919 RUNNING 2865152 2862339
1787363160.143027 RUNNING 2870272 2867476
1787363160.249982 RUNNING 2875392 2872565
1787363160.357010 RUNNING 2880512 2877653
1787363160.460706 RUNNING 2885632 2882646
1787363160.564057 RUNNING  2887591
1787363160.667418 RUNNING 2894848 2892583
1787363160.770535 RUNNING 2899968 2897528
1787363160.873657 RUNNING 2905088 2902473
1787363160.976805 RUNNING 2910208 2907417
1787363161.080320 RUNNING 2915328 2912410
1787363161.183815 RUNNING 2919424 2917355
1787363161.287421 RUNNING 2924544 2922347
1787363161.390592 RUNNING 2929664 2927292
1787363161.493632 RUNNING 2934784 2932237
1787363161.600127 RUNNING 2939904 2937325
1787363161.705870 RUNNING 2945024 2942414
1787363161.810931 RUNNING 2950144 2947455
1787363161.914416 RUNNING 2955264 2952447
1787363162.017968 RUNNING 2960384 2957392
