FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363244.157795 RUNNING 1407488 1406158
1787363244.261082 RUNNING 1412608 1411103
1787363244.371950 RUNNING 1417728 1416432
1787363244.479796 RUNNING 1422848 1421616
1787363244.583038 RUNNING 1427968 1426561
1787363244.686435 RUNNING 1432576 1431506
1787363244.789954 RUNNING 1437696 1436498
1787363244.893231 RUNNING 1442816 1441443
1787363244.999373 RUNNING 1447936 1446532
1787363245.107667 RUNNING 1453056 1451717
1787363245.211297 RUNNING 1458176 1456709
1787363245.314831 RUNNING 1462784 1461702
1787363245.417914 RUNNING 1467904 1466647
1787363245.521492 RUNNING 1473024 1471591
1787363245.624802 RUNNING  1476536
1787363245.728600 RUNNING 1482752 1481529
1787363245.831993 RUNNING 1487872 1486521
1787363245.935062 RUNNING 1492992 1491466
1787363246.038681 RUNNING 1497600 1496411
1787363246.141852 RUNNING 1502720 1501355
1787363246.245051 RUNNING 1507840 1506348
1787363246.349206 RUNNING 1512448 1511341
1787363246.458063 RUNNING 1518080 1516573
1787363246.563602 RUNNING 1522688 1521614
1787363246.667081 RUNNING 1527808 1526607
1787363246.770510 RUNNING 1532928 1531551
1787363246.873668 RUNNING 1537536 1536496
1787363246.977250 RUNNING 1542656 1541489
1787363247.080401 RUNNING 1547776 1546433
1787363247.183553 RUNNING 1552896 1551378
1787363247.287267 RUNNING 1557504 1556371
1787363247.390453 RUNNING 1562624 1561315
1787363247.493696 RUNNING 1567744 1566260
1787363247.597179 RUNNING 1572352 1571253
1787363247.700472 RUNNING 1577472 1576197
1787363247.807867 RUNNING 1582592 1581334
1787363247.912139 RUNNING 1587712 
1787363248.017789 RUNNING 1592832 1591415
1787363248.121314 RUNNING 1597440 1596408
1787363248.224692 RUNNING 1602560 1601353
1787363248.327997 RUNNING 1607680 1606297
1787363248.431795 RUNNING 1612800 1611290
1787363248.535509 RUNNING 1617408 1616283
1787363248.639122 RUNNING 1622528 1621227
1787363248.742536 RUNNING 1627648 1626220
1787363248.846064 RUNNING 1632256 1631165
1787363248.949362 RUNNING 1637376 1636157
1787363249.052595 RUNNING 1642496 1641102
1787363249.156056 RUNNING 1647104 1646047
1787363249.259441 RUNNING 1652224 1651039
1787363249.362629 RUNNING 1657344 1655984
1787363249.466428 RUNNING 1662464 1660977
