FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363358.125135 RUNNING 1407488 1406974
1787363358.230395 RUNNING 1412608 1412063
1787363358.349907 RUNNING 1418496 1417776
1787363358.454942 RUNNING 1423360 1422816
1787363358.558369 RUNNING 1428480 1427761
1787363358.661677 RUNNING 1433344 1432706
1787363358.764819 RUNNING 1438464 1437698
1787363358.868269 RUNNING 1443328 1442643
1787363358.971456 RUNNING 1448192 1447588
1787363359.075185 RUNNING 1453312 1452580
1787363359.180275 RUNNING 1458176 1457621
1787363359.284268 RUNNING 1463296 1462614
1787363359.391044 RUNNING 1468416 1467750
1787363359.494765 RUNNING 1473280 1472743
1787363359.598973 RUNNING 1478400 1477736
1787363359.702196 RUNNING 1483264 1482680
1787363359.805562 RUNNING 1488384 1487625
1787363359.909164 RUNNING 1493248 1492618
1787363360.012535 RUNNING 1498112 1497562
1787363360.116237 RUNNING 1503232 1502555
1787363360.219590 RUNNING 1508096 1507500
1787363360.322820 RUNNING 1512960 1512444
1787363360.426231 RUNNING 1518080 1517437
1787363360.529408 RUNNING 1522944 1522382
1787363360.632674 RUNNING 1528064 1527327
1787363360.736250 RUNNING 1532928 1532319
1787363360.840892 RUNNING  1537312
1787363360.947860 RUNNING 1543168 1542449
1787363361.051467 RUNNING 1548032 1547441
1787363361.154823 RUNNING 1553152 1552386
1787363361.258236 RUNNING 1558016 1557379
1787363361.361731 RUNNING 1562880 1562323
1787363361.465614 RUNNING 1568000 1567316
1787363361.569018 RUNNING 1572864 1572261
1787363361.672344 RUNNING 1577984 1577253
1787363361.775774 RUNNING 1582848 1582198
1787363361.878821 RUNNING 1587712 1587143
1787363361.982114 RUNNING  1592087
1787363362.085621 RUNNING 1597696 1597080
1787363362.189149 RUNNING  1602025
1787363362.296137 RUNNING 1607680 1607161
1787363362.399757 RUNNING 1612800 1612154
1787363362.506597 RUNNING 1617920 1617291
1787363362.610166 RUNNING  1622235
1787363362.713876 RUNNING 1627904 1627228
1787363362.817418 RUNNING 1632768 1632221
1787363362.924103 RUNNING 1637888 1637309
1787363363.027644 RUNNING 1643008 1642302
1787363363.131950 RUNNING 1647872 1647295
1787363363.235311 RUNNING 1652992 1652287
1787363363.339078 RUNNING 1657856 1657232
1787363363.442233 RUNNING 1662720 1662177
1787363363.545784 RUNNING 1667840 1667169
1787363363.649020 RUNNING 1672704 1672114
1787363363.752359 RUNNING  1677059
1787363363.855914 RUNNING 1682688 1682051
1787363363.960086 RUNNING 1687808 1687092
1787363364.065600 RUNNING 1692672 1692133
1787363364.170804 RUNNING 1697792 1697173
1787363364.273999 RUNNING 1702656 1702118
1787363364.377436 RUNNING  1707063
1787363364.480754 RUNNING 1712640 1712056
1787363364.583960 RUNNING 1717760 1717000
1787363364.687281 RUNNING 1722624 1721945
1787363364.790780 RUNNING 1727488 1726938
1787363364.894197 RUNNING 1732608 1731882
1787363364.997745 RUNNING 1737472 1736875
1787363365.100960 RUNNING 1742336 1741820
1787363365.204477 RUNNING 1747456 1746764
1787363365.307740 RUNNING 1752320 1751757
1787363365.411351 RUNNING 1757440 1756702
1787363365.514888 RUNNING 1762304 1761694
1787363365.620125 RUNNING 1767424 1766735
1787363365.726161 RUNNING 1772544 1771824
1787363365.831697 RUNNING  
1787363365.935196 RUNNING 1782528 1781857
1787363366.038405 RUNNING 1787392 1786802
1787363366.142034 RUNNING 1792512 1791794
1787363366.245502 RUNNING 1797376 1796739
1787363366.348662 RUNNING 1802240 1801684
1787363366.452055 RUNNING 1807360 1806676
1787363366.555325 RUNNING 1812224 1811621
1787363366.658951 RUNNING 1817344 1816614
1787363366.762305 RUNNING 1822208 1821558
1787363366.865492 RUNNING 1827072 1826503
1787363366.968916 RUNNING 1832192 1831496
1787363367.073236 RUNNING 1837056 1836488
1787363367.178013 RUNNING 1842176 1841529
1787363367.283881 RUNNING 1847296 1846618
1787363367.387234 RUNNING 1852160 1851562
