FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=60s hz=10
1787363015.256400 RUNNING 1499136 1496122
1787363015.359890 RUNNING 1503232 1501067
1787363015.476227 RUNNING 1509376 1506683
1787363015.579892 RUNNING 1514496 1511628
1787363015.683394 RUNNING 1519616 1516621
1787363015.786941 RUNNING 1523712 1521565
1787363015.890198 RUNNING 1528832 1526510
1787363015.993383 RUNNING 1533952 1531503
1787363016.096627 RUNNING 1539072 1536447
1787363016.199778 RUNNING 1544192 1541392
1787363016.308055 RUNNING 1549312 1546577
1787363016.412476 RUNNING 1554432 1551618
1787363016.516011 RUNNING 1559552 1556562
1787363016.619490 RUNNING 1563648 1561555
1787363016.722977 RUNNING 1568768 1566500
1787363016.826086 RUNNING 1573888 1571444
1787363016.929202 RUNNING 1579008 1576389
1787363017.032369 RUNNING 1584128 1581334
1787363017.135495 RUNNING 1589248 1586326
1787363017.239009 RUNNING 1593344 1591271
1787363017.342518 RUNNING 1598464 1596264
1787363017.445987 RUNNING 1603584 1601208
1787363017.549264 RUNNING 1608704 1606153
1787363017.653563 RUNNING  1611146
1787363017.756825 RUNNING 1618944 1616138
1787363017.860085 RUNNING 1624064 1621083
1787363017.964996 RUNNING 1629184 1626124
1787363018.071822 RUNNING 1634304 1631260
1787363018.175383 RUNNING 1638400 1636205
1787363018.278533 RUNNING 1643520 1641150
1787363018.381590 RUNNING 1648640 1646094
1787363018.484742 RUNNING 1653760 
1787363018.587898 RUNNING 1658880 1656032
1787363018.691824 RUNNING 1664000 1661024
1787363018.795337 RUNNING 1668096 1665969
1787363018.898970 RUNNING 1673216 1670962
1787363019.002077 RUNNING 1678336 1675906
1787363019.105354 RUNNING 1683456 1680851
1787363019.208527 RUNNING 1688576 1685796
1787363019.311928 RUNNING 1693696 1690788
1787363019.416162 RUNNING 1698816 1695781
1787363019.523958 RUNNING 1703936 1700966
1787363019.629859 RUNNING 1709056 1706006
1787363019.734190 RUNNING 1713152 1711047
1787363019.843896 RUNNING 1719296 1716280
1787363019.947637 RUNNING 1723392 1721272
1787363020.050896 RUNNING 1728512 1726217
1787363020.154018 RUNNING  1731162
1787363020.257241 RUNNING 1738752 1736155
1787363020.360676 RUNNING 1743872 1741099
1787363020.464300 RUNNING 1748992 1746092
1787363020.567779 RUNNING 1753088 1751037
1787363020.671564 RUNNING 1758208 1756029
1787363020.774667 RUNNING 1763328 1760974
1787363020.877948 RUNNING 1768448 1765919
1787363020.981080 RUNNING 1773568 1770863
1787363021.085197 RUNNING 1778688 1775904
1787363021.190760 RUNNING 1783808 1780993
1787363021.295383 RUNNING 1788928 1785985
1787363021.417057 RUNNING 1794048 1791794
1787363021.520328 RUNNING 1799168 
1787363021.624628 RUNNING 1804288 1801779
1787363021.728494 RUNNING 1809408 1806772
1787363021.832100 RUNNING 1814528 1811717
1787363021.935871 RUNNING 1819648 1816709
1787363022.039898 RUNNING 1824768 1821702
1787363022.145869 RUNNING 1828864 1826791
1787363022.250363 RUNNING 1833984 1831783
1787363022.353811 RUNNING 1839104 1836776
1787363022.456991 RUNNING 1844224 1841721
1787363022.560167 RUNNING 1849344 1846665
1787363022.663264 RUNNING 1854464 1851610
1787363022.771753 RUNNING 1859584 1856843
1787363022.875423 RUNNING  1861788
1787363022.979454 RUNNING 1869824 1866780
1787363023.082991 RUNNING 1873920 1871773
1787363023.186064 RUNNING 1879040 1876718
1787363023.289401 RUNNING 1884160 1881662
1787363023.393197 RUNNING 1889280 1886655
1787363023.497438 RUNNING 1894400 1891648
1787363023.601822 RUNNING 1899520 1896688
1787363023.710091 RUNNING 1904640 1901873
1787363023.813324 RUNNING 1909760 1906818
1787363023.916805 RUNNING  
1787363024.020415 RUNNING 1918976 1916755
1787363024.123524 RUNNING 1924096 1921700
1787363024.226895 RUNNING 1929216 1926692
1787363024.330017 RUNNING 1934336 1931637
1787363024.433256 RUNNING 1939456 1936582
1787363024.536837 RUNNING  1941526
1787363024.640399 RUNNING 1948672 1946519
1787363024.743455 RUNNING 1953792 1951464
1787363024.848072 RUNNING 1958912 1956504
1787363024.951899 RUNNING 1964032 1961449
1787363025.058817 RUNNING 1969152 1966586
1787363025.161955 RUNNING 1974272 1971530
1787363025.265068 RUNNING 1979392 1976523
1787363025.368275 RUNNING 1984512 1981468
