FILL_POLL_START status=/proc/asound/card2/pcm0p/sub0/status duration=10s hz=10
1787362844.990657 RUNNING 7019520 7016629
1787362845.093909 RUNNING 7024640 7021574
1787362845.197633 RUNNING 7028736 7026567
1787362845.304094 RUNNING 7033856 7031655
1787362845.408255 RUNNING 7038976 7036648
1787362845.511411 RUNNING 7044096 7041593
1787362845.614520 RUNNING 7049216 7046537
1787362845.717606 RUNNING 7054336 7051482
1787362845.820803 RUNNING 7059456 7056475
1787362845.923980 RUNNING 7063552 7061419
1787362846.027039 RUNNING 7068672 7066364
1787362846.130425 RUNNING 7073792 7071309
1787362846.233490 RUNNING 7078912 7076253
1787362846.336535 RUNNING 7084032 7081198
1787362846.439665 RUNNING 7089152 7086143
1787362846.542773 RUNNING 7093248 7091087
1787362846.646202 RUNNING 7098368 7096080
1787362846.750606 RUNNING 7103488 7101073
1787362846.855631 RUNNING 7108608 7106113
1787362846.960356 RUNNING 7113728 7111154
1787362847.063632 RUNNING 7118848 7116099
1787362847.166730 RUNNING 7123968 7121043
1787362847.269795 RUNNING 7128064 7125988
1787362847.373098 RUNNING 7133184 7130933
1787362847.476147 RUNNING  7135877
1787362847.579130 RUNNING  7140822
1787362847.682518 RUNNING 7148544 7145815
1787362847.785699 RUNNING 7153664 7150759
1787362847.889030 RUNNING 7157760 7155704
1787362847.992391 RUNNING 7162880 7160697
1787362848.095393 RUNNING 7168000 7165641
1787362848.199273 RUNNING 7173120 7170634
1787362848.303658 RUNNING 7178240 7175627
1787362848.409477 RUNNING 7183360 7180715
1787362848.514015 RUNNING 7188480 7185708
1787362848.617430 RUNNING  7190653
1787362848.720915 RUNNING 7197696 7195645
1787362848.825914 RUNNING 7202816 7200686
1787362848.929496 RUNNING 7207936 7205631
1787362849.032592 RUNNING 7213056 
1787362849.135640 RUNNING 7218176 7215568
1787362849.238910 RUNNING 7223296 7220513
1787362849.341962 RUNNING 7228416 7225458
1787362849.445043 RUNNING 7232512 7230402
1787362849.548220 RUNNING 7237632 7235347
1787362849.651270 RUNNING 7242752 7240292
1787362849.754376 RUNNING 7247872 7245236
1787362849.858442 RUNNING 7252992 7250229
1787362849.961601 RUNNING 7258112 7255174
1787362850.065288 RUNNING 7263232 7260166
1787362850.170119 RUNNING 7267328 7265207
1787362850.275478 RUNNING 7272448 7270248
1787362850.378602 RUNNING 7277568 7275192
1787362850.481697 RUNNING 7282688 7280137
1787362850.584786 RUNNING 7287808 7285082
1787362850.687881 RUNNING 7292928 7290026
1787362850.791275 RUNNING 7298048 7295019
1787362850.894863 RUNNING 7302144 7299964
1787362850.998269 RUNNING 7307264 7304956
1787362851.101296 RUNNING 7312384 7309901
1787362851.204384 RUNNING 7317504 7314846
1787362851.307442 RUNNING 7322624 7319790
1787362851.410658 RUNNING 7327744 7324735
1787362851.513848 RUNNING 7331840 7329680
1787362851.616991 RUNNING 7336960 7334624
1787362851.720775 RUNNING 7342080 7339617
1787362851.825384 RUNNING 7347200 7344658
1787362851.931199 RUNNING 7352320 7349698
1787362852.034485 RUNNING 7357440 7354691
1787362852.137520 RUNNING 7362560 7359636
1787362852.240711 RUNNING 7366656 7364580
1787362852.344053 RUNNING 7371776 7369525
1787362852.447256 RUNNING 7376896 7374470
1787362852.550583 RUNNING 7382016 7379462
1787362852.653920 RUNNING 7387136 7384407
1787362852.757311 RUNNING 7392256 7389352
1787362852.860666 RUNNING 7397376 7394344
1787362852.964208 RUNNING 7401472 7399289
1787362853.067279 RUNNING 7406592 7404234
1787362853.170389 RUNNING 7411712 7409178
1787362853.276094 RUNNING 7416832 7414267
1787362853.379720 RUNNING  7419260
1787362853.485741 RUNNING  7424300
1787362853.588958 RUNNING 7432192 7429293
1787362853.692028 RUNNING 7436288 7434238
1787362853.795320 RUNNING 7441408 7439182
1787362853.898366 RUNNING 7446528 7444127
FILL_POLL_END
